OrderDateUTC,Order_year,Order_month,Orderweek,Haul,Brand/Channel,Policy_type,58%Insurance_Premium,Insurance_purch,Travix_booking,Travix_revenue
2017-01-13,2017,1,2,Short Haul,VLIEGWINKEL,No insurance,0.0,0,111,0.0
2017-01-13,2017,1,2,Short Haul,VLIEGWINKEL,Travel Insurance,19.488,2,2,31.488
2017-01-14,2017,1,2,Long Haul,BUDGETAIR,Cancellation Insurance,407.89079999999996,12,12,479.89079999999996
2017-01-14,2017,1,2,Long Haul,BUDGETAIR,No insurance,0.0,0,119,0.0
2017-01-14,2017,1,2,Long Haul,BUDGETAIR,Travel Insurance,125.85999999999999,3,3,143.85999999999999
2017-01-14,2017,1,2,Long Haul,CHEAPTICKETSNL,Cancellation Insurance,1427.902,36,36,1643.9020000000003
2017-01-14,2017,1,2,Long Haul,CHEAPTICKETSNL,No insurance,0.0,0,252,0.0
2017-01-14,2017,1,2,Long Haul,CHEAPTICKETSNL,Travel Insurance,176.204,3,3,194.204
2017-01-14,2017,1,2,Long Haul,VLIEGWINKEL,Cancellation Insurance,229.3146,5,5,259.31460000000004
2017-01-14,2017,1,2,Long Haul,VLIEGWINKEL,No insurance,0.0,0,65,0.0
2017-01-14,2017,1,2,Short Haul,BUDGETAIR,Cancellation Insurance,57.04299999999999,5,5,87.043
2017-01-14,2017,1,2,Short Haul,BUDGETAIR,No insurance,0.0,0,128,0.0
2017-01-14,2017,1,2,Short Haul,CHEAPTICKETSNL,Cancellation Insurance,719.6872,52,52,1031.6872
2017-01-14,2017,1,2,Short Haul,CHEAPTICKETSNL,No insurance,0.0,0,639,0.0
2017-01-14,2017,1,2,Short Haul,CHEAPTICKETSNL,Travel Insurance,183.91799999999995,16,16,279.91800000000006
2017-01-14,2017,1,2,Short Haul,VLIEGWINKEL,Cancellation Insurance,163.42079999999996,12,12,235.42079999999999
2017-01-14,2017,1,2,Short Haul,VLIEGWINKEL,No insurance,0.0,0,110,0.0
2017-01-14,2017,1,2,Short Haul,VLIEGWINKEL,Travel Insurance,4.872,1,1,10.872
2017-01-15,2017,1,2,Long Haul,BUDGETAIR,Cancellation Insurance,714.0437999999999,15,15,804.0438
2017-01-15,2017,1,2,Long Haul,BUDGETAIR,No insurance,0.0,0,129,0.0
2017-01-15,2017,1,2,Long Haul,BUDGETAIR,Travel Insurance,124.06199999999998,3,3,142.06199999999998
2017-01-15,2017,1,2,Long Haul,CHEAPTICKETSNL,Cancellation Insurance,1779.8981999999999,50,50,2079.8982
2017-01-15,2017,1,2,Long Haul,CHEAPTICKETSNL,No insurance,0.0,0,346,0.0
2017-01-15,2017,1,2,Long Haul,CHEAPTICKETSNL,Travel Insurance,131.254,4,4,155.25400000000002
2017-01-15,2017,1,2,Long Haul,VLIEGWINKEL,Cancellation Insurance,228.31699999999995,6,6,264.31699999999995
2017-01-15,2017,1,2,Long Haul,VLIEGWINKEL,No insurance,0.0,0,60,0.0
2017-01-15,2017,1,2,Long Haul,VLIEGWINKEL,Travel Insurance,34.162,2,2,46.162
2017-01-15,2017,1,2,No Hual,CHEAPTICKETSNL,No insurance,0.0,0,1,0.0
2017-01-15,2017,1,2,Short Haul,BUDGETAIR,Cancellation Insurance,164.68519999999998,11,11,230.68519999999998
2017-01-15,2017,1,2,Short Haul,BUDGETAIR,No insurance,0.0,0,192,0.0
2017-01-15,2017,1,2,Short Haul,BUDGETAIR,Travel Insurance,19.488,2,2,31.488
2017-01-15,2017,1,2,Short Haul,CHEAPTICKETSNL,Cancellation Insurance,1065.6920000000002,79,79,1539.6919999999998
2017-01-15,2017,1,2,Short Haul,CHEAPTICKETSNL,No insurance,0.0,0,813,0.0
2017-01-15,2017,1,2,Short Haul,CHEAPTICKETSNL,Travel Insurance,200.96999999999997,13,13,278.97
2017-01-15,2017,1,2,Short Haul,VLIEGWINKEL,Cancellation Insurance,155.88079999999997,12,12,227.88079999999997
